date,title,stars,review,no_scent,noscent_counter
2020-11-22,Small throw,3.0 out of 5 stars,Beautiful scent but doesn't have much throw. Also the wick is messed up and it is not burning evenly,True,1
2020-10-17,No scent when lit?,1.0 out of 5 stars,"Disappointed. I’ve wanted to try this candle for years, and I was so excited to come home and light this, but after 4 hours, there was barely any scent. Like I had to sniff for it, but it wasn’t there. I agree with the comment saying you can smell it more when it’s not lit.
Sad that I threw out the box, but if I find another box for it to fit in, then I will return it. Maaaybe I’ll give a different yankee candle a go, but this first yankee purchase was a big disappointment.

I read through the comments and there were enough people saying it smelled wonderful. Did I get a bad batch or something? I should have gone for the salted caramel instead",True,1
2020-10-13,Burns very well,5.0 out of 5 stars,If you like the smell of lilac you'll love this candle.,False,0
2020-09-26,overrated,3.0 out of 5 stars,You are definitely paying for the name. The scent is underwhelming. I want a candle that fills the room wth a pretty aroma. It barely has a scent.,True,1
2020-08-31,Always good quality,5.0 out of 5 stars,Best candle ever,False,0
2020-08-09,Smells awesome,5.0 out of 5 stars,Was well packaged and arrive in perfect shape. The candle itself smells amazing and burns evenly. Definitely worth the money.,False,0
2020-08-05,Packaged well,4.0 out of 5 stars,Didn’t smell bad but isn’t the greatest scent either.,False,0
2020-07-29,Nice Candle,1.0 out of 5 stars,Too bad that it arrived broken.,False,0
2020-07-20,Smells just like summer,5.0 out of 5 stars,"Love the smell of lilacs and this candle smells exactly like that (to me at least).
The candle came very well packed in a Yankee Candle cardboard box with cardboard inserts. Happy with purchase.",False,0
2020-06-15,Love it,5.0 out of 5 stars,Love the scent,False,0
2020-06-04,Hardly any scent - waste of money,2.0 out of 5 stars,"Can barely smell it, zero throw. From what I could smell it was a light tropical floral scent. It was about as good as the glade one you can get on the add on item deal. You may as well buy that one. Would not buy Yankee again",True,1
2020-06-04,"Nice, accurate scented candle",4.0 out of 5 stars,"Really nice burning candle, well scented but overpriced when you can get them retail for alot less. Just the convenience during Covid made it easier and safer to buy online.",False,0
2020-06-02,LOVE this candle,5.0 out of 5 stars,This scent is my absolute favourite. Burn length is great and never loses its scent.,False,0
2020-05-31,The best,5.0 out of 5 stars,Smells like heaven! I can’t explain the scent other than amazing!,False,0
